[2026-07-04 06:04:43] ERROR   | Excel update fail hua row 33: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:05:45] ERROR   | [33]    Error: Login UI element not found or timeout
[2026-07-04 06:05:45] ERROR   | Excel update fail hua row 34: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:06:10] ERROR   | Excel update fail hua row 38: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:07:11] ERROR   | [38]    Error: Login UI element not found or timeout
[2026-07-04 06:07:11] ERROR   | Excel update fail hua row 39: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:07:37] ERROR   | Excel update fail hua row 42: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:08:39] ERROR   | [51]    Error: Login UI element not found or timeout
[2026-07-04 06:08:39] ERROR   | Excel update fail hua row 52: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:09:38] ERROR   | [52]    Error: Login UI element not found or timeout
[2026-07-04 06:09:38] ERROR   | Excel update fail hua row 53: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:10:37] ERROR   | [58]    Error: Login UI element not found or timeout
[2026-07-04 06:10:37] ERROR   | Excel update fail hua row 59: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:11:02] ERROR   | Excel update fail hua row 62: EBUSY: resource busy or locked, open 'C:\Users\Asif Computer\OneDrive\Documents\My-Personal-Document\sargodha-appium\data\users.xlsx'
[2026-07-04 06:12:02] ERROR   | [66]    Error: Login UI element not found or timeout
